CompanyCd,CompanyNm,companyPartNames,ceoNm
20241782,바틀 테이스트 픽쳐스,"제작사,배급사",최종욱
20243121,워터릴리즈 픽처스,"제작사,배급사",이찬호
20191641,(주)돈키호테엔터테인먼트,제작사,권지원
20243036,(주)천우엔지니어링,상영업,박영철
20243035,(주)콘텐츠파크엔터테인먼트,제작사,박주태
20230761,빈센트.,제작사,김빈
20204721,씨지브이 아이스콘,"제작사,배급사,수입사,상영업",최병환
20203082,씨제이포디플렉스 주식회사,"제작사,배급사",심준범
20100109,씨제이엔터테인먼트,해외세일즈사,정태성
20243034,한국스마트협동조합,배급사,서인형
20243033,별별창작소,제작사,
20243032,무비글,제작사,
20243031,서울의소리,제작사,"강경자, 백은종"
20216861,사단법인 영화수입배급사협회,"배급사,수입사",유현택
20243106,홍이봄,제작사,김은혜
20243105,㈜스튜디오오르카,"제작사,배급사,수입사",박정호
20243104,거짓과 진실,제작사,우종창
20229521,(주)1031스튜디오,제작사,"윤나경, 안태운"
20243103,레코드,제작사,최호영
20243102,㈜오리진엔터테인먼트,제작사,윤태경
20243030,㈜닥터케이프로덕션,"제작사,배급사",박지혜
20243101,㈜엘와이디,"배급사,수입사",이준희
20138235,페이지원필름(주),"제작사,배급사",정재연
20243029,주식회사 빈스필름,"제작사,배급사,수입사",이성재
20189281,(주)에이스메이커무비웍스,"제작사,배급사,수입사",정현주
20243081,세컨드윈드픽처스,제작사,오지윤
20114864,세컨드윈드 필름,제작사,박정범
20241661,주식회사 위드에이스튜디오,제작사,이성진
20230710,(주)애드히시브,제작사,이용석
20241864,구필름,제작사,구소정
20243041,그라운드핀치,"제작사,배급사",최현건
20190181,창빛프로덕션,제작사,임철빈
20218581,(주)키노라이츠,"배급사,수입사,상영업",양준영
20242261,주식회사 킨스튜디오,"제작사,배급사,수입사",노동욱
20243061,블루닷 필름,제작사,박이윤정
20242961,네번째달,"제작사,배급사",윤정모
20243028,백석예술대학교,영화교육기관-대학교,
20231022,이백이십이필름,,김용기
20126515,(주)영화사 월광,제작사,국수란
20243027,엠퍼시연기아카데미,제작사,김형규
20243044,크레용팩토리,"제작사,배급사",김정호
20243026,주식회사 콘랩,제작사,이현구
20243025,이프,제작사,한승원
20100161,유니코리아문예투자(주),"제작사,배급사,수입사,제공",최성민
20243043,캠플래닛,제작사,김선영
20243024,미디어 활동사진,제작사,이동윤
20188342,쌍마픽처스,제작사,마민지
20243042,노웨어필름,"제작사,배급사",김미혜
20243023,올로미디어,제작사,
20243022,㈜스튜디오 하이파이브,제작사,
20243021,(주)무림산업,"제작사,배급사,수입사",박영혜
20124675,(사)한국영화프로듀서조합,영화기관/단체-제작,이동하
20187342,로랜드스튜디오,제작사,이동은
20242968,주식회사 제이원스토리,제작사,김동황
20141848,(주)이놀미디어,"제작사,배급사,수입사,해외세일즈사",안기남
20203221,주식회사 이야픽쳐스 ,제작사,윤경식
20100239,(주)타이거픽쳐스,"제작사,배급사,수입사",오승현
20242967,영원의 질감,"배급사,수입사",정민우
20242966,주식회사 잉크픽처스,제작사,김정호
20243002,바양 CG,"배급사,수입사,상영업",BALJINYAM DELGERTSETSEG
20242770,주식회사 메이데이홀딩컴퍼니,제작사,정현
20243001,피스톨 필름,제작사,윤평화
20122837,(주)팝엔터테인먼트,"제작사,배급사,수입사",박용균
20154448,(주)26컴퍼니,"제작사,배급사",박세준
20242965,에이치 크리에이티브 그룹,제작사,배세웅
20189762,(주)날개엔터테인먼트,제작사,
20242964,(주)나인테일드 폭스스튜디오,제작사,김동민
20242963,㈜우주선필름,제작사,이재석
20242962,㈜티엠피시,제작사,진현규
20242981,주식회사 데니즈엠,제작사,이승노
20203941,클라이맥스 스튜디오(주),제작사,변승민
20160061,매치박스 유한책임회사,제작사,최영준
20242941,홍시네,제작사,
20242774,(주)빅인스퀘어,제작사,이대연
20187121,페이스 스튜디오,제작사,전수만
20242772,㈜지피브이씨,제작사,"신정호, 김원우, 차원일"
20242921,㈜폴룩스스튜디오,제작사,안은미
20242773,㈜스튜디오씨에스,제작사,박철수
20241921,다큐스토리프로덕션,"제작사,배급사",김덕영
20111564,(주)영화사조아,"제작사,배급사,수입사,프로덕션 서비스",김수정
20062385,(주)나인플래너스,"제작사,배급사,수입사,공동제공",박은님
20242771,주리메지,제작사,박주은
20242901,푸를 홍,제작사,홍성은
20161165,무비바이러스㈜,제작사,김동균
20199962,(주)담화,"제작사,배급사,수입사",정은주
20241784,사나흘 스튜디오,제작사,장대송
20130188,(주)영화사 이창,제작사,김성훈
20242881,영화사 하르빈,제작사,
20063066,(주)퍼플캣츠필름,제작사,윤홍승
20242861,주식회사 에스크로드,제작사,정승필
20242763,(사)한국농아인협회,가치봄 제작처(자막),
20242764,한국시각장애인연합회,가치봄 제작처(해설),
20231101,영화사 은하수,,
20242769,주식회사 영화사온,제작사,이정호
20216902,(주)샌드박스네트워크,"제작사,배급사","이필성, 차병곤"
20242768,허버,제작사,정지현
20242767,킬체리픽처스,제작사,이유송
20242766,(주)빈센트,제작사,김빈
20242765,진주 미디어센터,"가치봄 제작처(자막),가치봄 제작처(해설)",
20242841,대구 미디어센터,"가치봄 제작처(자막),가치봄 제작처(해설)",
20060794,세기상사㈜,상영업,조영준
20216482,(주)이오콘텐츠그룹,"제작사,배급사",오은영
20205421,(주)하이브,제작사,"박지원, 이재상"
20189221,나인티나인퍼센트,제작사,박지영
20061955,(주)유나이티드미디어,배급사,김영아
20100103,(주)쇼박스,"제작사,배급사,수입사,제공,해외세일즈사,상영업,저작권관련사",신호정
20138035,테스트 영화사,제작사,테스트
20061269,마시멜로엔터테인먼트 ,제작사,최욱
20100909,프로젝트 날 ,제작사,
20229541,(주)삼이공,제작사,한경탁
20242822,스튜디오팔삼구,"제작사,배급사",김태희
20216561,(주)스튜디오디에이치엘,"제작사,배급사,수입사",이성우
20242821,뉴스포유,제작사,임우성
20242801,린트필름,제작사,
20242762,토우미디어,제작사,구자경
20100905,(주)디에스피미디어,제작사,김진우
20242781,주식회사 그레가,제작사,김태영
20100065,대원미디어(주),"제작사,배급사,수입사",정동훈
20242206,나우 프로덕션,"제작사,배급사",이진영
20203301,(주)은하수필름 ,제작사,권성휘
20242743,(주)에스더블유콘텐츠,제작사,
20242761,삼녀강 필름,제작사,
20242742,씨네플로우,"제작사,배급사",안준성
