영화명,영화명(영어),제작연도,국적,유형,장르,제작상태,감독,제작사
사흘,Devils Stay,2020,한국,장편,"공포(호러),미스터리",개봉예정,현문섭,(주)아이필름코퍼레이션
청춘불패,,2024,한국,장편,"액션,드라마,코미디",개봉예정,박창진,주식회사 제이원스토리
모아나 2,MOANA 2,2024,"미국,캐나다",장편,애니메이션,개봉준비,데이브 데릭 주니어,
극장판 오버로드 성왕국편,OVERLORD: The Sacred Kingdom,2024,일본,장편,애니메이션,개봉예정,이토 나오유키,
소방관,FIREFIGHTERS,2024,한국,장편,드라마,개봉예정,곽경택,"주식회사 에스크로드,(주)아센디오"
동창생 거근에 축축해진 언니,ITIBAN KAWAI ONANA,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
며느라기 혼구녕 내기,SUKEBENA KARADA,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
허락한 새엄마-아들의 젊고 진한 냄새,JYUKUHAHA-20,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
물 빼주는 유부녀-털려버린 씨주머니,MISAKAINAKU,2024,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
옆집 누나-온천에서 같이 싼다,MARIESANTO ONESEN,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
오빠의 불빠따-귀여운 얼굴로 잘도 싸는구나,MUKANSINNA OTOKO,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
씨물 맛좀 보여달라는 이웃 유부녀,,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
새엄마가 내 친구와 해버렸다-나도 싸게 해줘 무삭제판,JYUKUBONO MUSUKO-13,2022,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
세상 참 예쁜 오드리,Audrey,2022,한국,장편,"가족,드라마",개봉,이영국,"주식회사 비씨엠,(주)아센디오"
춘천대첩 72시간,,2024,한국,장편,다큐멘터리,개봉예정,장이레,주식회사 나인픽처스
새엄마 손 맛-참지 못해 세웠다,OKASANO GANGU-01,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
젖큰 여선배-차 끊겼어 모텔가자,SYUUDENNO KANOJYO,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
같이 물 빼자는 옆집 이모,SYUKUMONO KYOKUJYO-01,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
헤픈 새엄마-이번엔 네가 쌀 차례야,KATEIHUHA ZENRA-02,2024,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
온천 씨받이-거래처 부인의 물 맛,TORIHIKITO RYOKO,2023,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,,
가사도우미-내 남편과 자도 좋아,,2024,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉예정,이타치,(주)영진크리에이티브
보이,Boy,2024,한국,장편,"범죄,멜로/로맨스",후반작업,이상덕,
크레센도,Crescendo,2023,미국,장편,다큐멘터리,개봉,헤더 윌크,
괜찮아 괜찮아 괜찮아! ,IT′S OKAY!,2023,한국,장편,"가족,코미디,드라마",개봉예정,김혜영,주식회사 투맨필름
청설,Hear Me: Our Summer,2024,한국,장편,"드라마,멜로/로맨스",개봉,조선호,(주)무비락
전장의 크리스마스,"Merry Christmas, Mr. Lawrence",1983,영국,장편,"드라마,전쟁",개봉예정,오시마 나기사,
극장판 주술회전 0,Jujutsu Kaisen: Zero,2021,일본,장편,애니메이션,개봉,박성후,
모든 것은 아르망에서 시작되었다,ARMAND,2024,"노르웨이,네덜란드,독일,스웨덴",장편,드라마,개봉예정,,
뽀로로 극장판 바닷속 대모험,,2024,한국,장편,애니메이션,개봉예정,윤제완,(주)오콘
원정빌라,The Unrighteous,2024,한국,장편,"공포(호러),스릴러",개봉예정,김선국,(주)케이드래곤
리바이벌 69’,Revival69: The Concert That Rocked the World,2022,미국,장편,다큐멘터리,개봉예정,,
대가족,About Family,2023,한국,장편,"드라마,코미디",개봉예정,양우석,게니우스 유한회사
아마존 활명수,AMAZON BULLSEYE,2024,한국,장편,코미디,개봉,김창주,"(주)로드픽쳐스,(주)씨제이이엔엠"
보통의 가족,A Normal Family,2022,한국,장편,드라마,개봉,허진호,(주)하이브미디어코프
여보 미안해-친구 아들을 세워줬습니다,KIREINA OSIRI-03,2023,일본,장편,"멜로/로맨스,드라마",개봉예정,,
단백질 뽑아내는 언니의 손기술,KAWAGYARU ONNA,2023,일본,장편,"멜로/로맨스,드라마",개봉예정,,
힘을 낼 시간,Time to Be Strong,2024,한국,장편,드라마,개봉예정,남궁선,"국가인권위원회,비포위다이"
쇼잉 업,Showing Up,2024,미국,장편,드라마,개봉예정,켈리 라이카트,
폭풍우 치는 밤에,Stormy Night,2005,일본,장편,애니메이션,개봉,스기이 기사부로,
에드워드 호퍼,Hopper - An American Love Story,2023,영국,장편,다큐멘터리,개봉예정,필 그랩스키,
여름날의 레몬그라스,I Am The Screet In Your Heart,2024,대만,장편,멜로/로맨스,개봉예정,,
노이즈,Noise,2024,한국,장편,"공포(호러),스릴러",개봉준비,김수진,(주)화인컷
바다호랑이,,2024,한국,장편,드라마,개봉준비,정윤철,
루프,The Loop,2024,한국,장편,"드라마,스릴러",개봉예정,구상범,한국영상대학교
킹덤4: 대장군의 귀환 ,Kingdom 4: Return of the Great General,2024,일본,장편,"액션,전쟁",개봉예정,사토 신스케,
미션 임파서블: 파이널 레코닝,Mission: Impossible - The Final Reckoning,2025,미국,장편,액션,개봉준비,크리스토퍼 맥쿼리,
더 크로우,The Crow,2024,미국,장편,"액션,판타지",개봉예정,루퍼트 샌더스,
아메바 소녀들과 학교괴담: 개교기념일,Idiot Girls and School Ghost: School Anniversary,2024,한국,장편,"코미디,공포(호러)",개봉,김민하,(주)26컴퍼니
하우치,Hauchi,2023,한국,장편,"멜로/로맨스,드라마",개봉예정,김명균,"(주)지브라더스 컴퍼니,에스지엔터테인먼트(주),(주)필름몬스터"
K여대생 지우의 흑인과 첫경험,,2024,한국,장편,성인물(에로),개봉예정,,스마일컨텐츠
극장판 짱구는 못말려: 우리들의 공룡일기,Crayon Shinchan the Movie: Our Dinosaur Diary,2024,일본,장편,애니메이션,개봉예정,사사키 시노부,
블링크 트와이스,Blink Twice,2024,미국,장편,드라마,개봉예정,조 크라비츠,
세입자,The Tenants,2024,한국,장편,"SF,스릴러,공포(호러),판타지",개봉예정,윤은경,
나의 히어로 아카데미아 더 무비: 유어 넥스트,My Hero Academia the Movie: You're Next,2024,일본,장편,애니메이션,개봉예정,오카무라 텐사이,
카인의 도시,City of Cain,2024,한국,장편,드라마,개봉예정,송창수,(주)에이디엠엔터테인먼트
거인,Set Me Free,2014,한국,장편,드라마,개봉,김태용,(주)메이킹에이프린트
섬·망(望),Prayer of the isle,2024,한국,장편,드라마,개봉예정,박순리,순리필름
아들들,SONS,2024,"덴마크,스웨덴",장편,드라마,개봉예정,구스타브 몰러,
틴틴 : 유니콘호의 비밀,Adventure of Tintin: The Secret of the Unicorn,2011,"미국,뉴질랜드,벨기에",장편,"애니메이션,가족,어드벤처",개봉,스티븐 스필버그,
엘 스타 리:플레이 스테이지,ELSTAR RE:PLAY STAGE,2024,한국,장편,"애니메이션,공연",개봉,,(주)넥슨코리아
상간시대,,2024,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉,이타치,(주)영진크리에이티브
니코: 오로라 원정대의 모험,Niko: Beyond the Northern Lights,2024,"핀란드,독일",장편,애니메이션,개봉예정,"캐리 주스넌,요르겐 레르담",
헬보이: 크룩드 맨,Hellboy: The Crooked man,2024,미국,장편,"액션,공포(호러),판타지",개봉예정,브라이언 테일러,
위키드,Wicked,2024,미국,장편,"판타지,뮤지컬",개봉예정,존 추,
캡틴 아메리카: 브레이브 뉴 월드,Captain America: Brave New World,2025,미국,장편,"액션,어드벤처,SF",개봉예정,줄리어스 오나,
무파사: 라이온 킹,Mufasa: The Lion King,2024,미국,장편,애니메이션,개봉예정,배리 젠킨스,
한 채,The Berefts,2024,한국,장편,드라마,개봉예정,"정범,허장","DGC,(주)타이거시네마"
1승,One Win,2021,한국,장편,드라마,개봉예정,신연식,(주) 루스이소니도스
"괜찮아, 앨리스","Efterskole, Going to the Wonderland Korea",2023,한국,장편,다큐멘터리,개봉예정,양지혜,오마이뉴스
아침바다 갈매기는,The Land of Morning Calm,2024,한국,장편,"드라마,가족",개봉예정,박이웅,(주)고집스튜디오
보이지 않는,,2023,한국,장편,"액션,스릴러",개봉예정,,
썬더볼츠*,Thunderbolts*,2025,미국,장편,"액션,어드벤처",개봉예정,제이크 슈레이어,
내 마음의 풍차,Windmill Of My Mind,1976,한국,장편,"드라마,멜로/로맨스",개봉,김수용,(주)화천공사
먼 훗날 우리,,2024,한국,장편,멜로/로맨스,후반작업,김도영,커버넌트픽처스(주)
폭설,,2024,한국,장편,"스릴러,드라마",후반작업,,(주)루이스 픽쳐스
모럴해저드(가제),Big Deal (w/t),2023,한국,장편,기타,개봉준비,최윤진,더램프(주)
이처럼 사소한 것들,Small Things Like These,2024,미국,장편,드라마,개봉예정,,
"뉴클래식 프로젝트 미안하다, 사랑한다",,2024,한국,장편,멜로/로맨스,개봉예정,,콘텐츠웨이브(주)
파라다이스 이즈 버닝,Paradise is Burning,2023,"덴마크,스웨덴",장편,드라마,개봉예정,,
백현: 론스달라이트 닷 인 시네마,BAEKHYUN: Lonsdaleite [dot] IN CINEMAS,2024,한국,장편,공연,개봉예정,"오윤동,김하민","씨제이포디플렉스 주식회사,스크린엑스 스튜디오"
미키 17,Mickey 17,2024,미국,장편,"어드벤처,SF,드라마,코미디",개봉예정,봉준호,워너브러더스 코리아(주)
울지 않는 아이,A Child of Silent,2024,한국,장편,드라마,개봉준비,이혁종,"벤티지필름코리아,(주)영화사바른,주식회사 아트컨티뉴"
빌리와 용감한 녀석들: 스노우 베어 구조대,Little Eggs: A Frozen Rescue,2022,멕시코,장편,애니메이션,개봉,"가브리엘 리바 팔라시오 알라트리스테,로돌포 리바 팔라시오 알라트리스테",
끈적 쫄깃한 육덕 아줌마,,2024,한국,장편,성인물(에로),개봉,,(주)샤이커뮤니케이션즈
공작새,Peafowl,2023,한국,장편,드라마,개봉,변성빈,주식회사 세미콜론스튜디오
해바라기,Sunflower,2006,한국,장편,액션,개봉,강석범,아이비젼엔터테인먼트(주)
베이비 드라이버,Baby Driver,2017,영국,장편,"액션,범죄,스릴러",개봉,에드가 라이트,
내 친구는 살인범,,2024,한국,장편,"액션,코미디",촬영진행,김희성,
서브스턴스,THE SUBSTANCE,2024,영국,장편,스릴러,개봉예정,코랄리 파르쟈,
