movieCd,movieNm
19240004,비련의 곡
19240005,미카엘
19240006,개척자
19240007,해의 비곡
19240008,장화홍련전
19240009,전선여자정구대회
19248001,토끼와 거북이
19248002,마지막 웃음
19248003,니벨룽겐의 노래
19250005,암광
19250007,집안의 주인
19250008,쌍옥루
19250009,놀부 흥부
19250010,심청전
19250011,운영전 : 총희의 연
19258002,꿈의 우라시마
19258004,오페라의 유령
19258006,탐욕
19258012,아시아의빛
19260001,봉황의 면류관
19260002,풍운아
19260003,산채왕
19260004,농중조
19260005,장한몽
19260006,멍텅구리
19268007,박타프랄라드
19270005,잘 있거라
19270007,삼면 거울
19270008,뿔빠진 황소
19270009,먼동이 틀 때
19270010,낙화유수
19270011,금붕어
19270012,낙원을 찾는 무리들
19270013,들쥐
19270014,불망곡
19278001,왕중왕
19278002,제너럴
19278003,윙스
19278004,10월
19278006,6 1/2 x 11
19278015,날개
19280002,춘희
19280003,어셔가의 몰락
19280004,나의 친구여
19280005,숙영 낭자전
19280006,사나이
19280007,창덕궁 순종 황제 묘의
19280008,지나가의 비밀
19280009,삼걸인 : 세동무
19280010,사랑을 찾아서
19280011,유랑
19280012,순정은 신과 같다
19280013,옥녀
19288001,잔다르크의 수난
19290002,벙어리 삼룡
19290003,약혼
19290004,종소리
19290005,암로
19290006,혼가
19298001,코코넛 대소동
19300003,서부 전선 이상 없다
19300005,젊은이의 노래
19300007,니스에 관하여
19300009,어사 박문수전
19300010,바다와 싸우는 사람들
19300011,도적놈
19300012,노래하는 시절
19300013,승방비곡
19300014,철인도
19300015,아리랑 그후 이야기
19300016,아리랑 2
19308001,막스 브라더스의 파티 대소동
19308002,시인의 피
19308004,살인
19308006,모로코
19308008,정의는 이긴다
19308017,황금시대
19310001,동지애
19310006,"장 타리스, 물의 왕"
19310007,산괴령
19310008,수일과 순애
19310009,금강한
19310010,화륜
19318002,차메코의 하루
19318003,시마론
19318004,엠
19318005,죄 지은 여자
19318011,공공의 적
19318012,마르탄다바르마
19320011,암굴왕
19320012,딱한 사람들
19320013,임자없는 나룻배
19320014,개화당이문
19328001,막스 브라더스의 풋볼 대소동
19328002,미키 마우스의 오페라 대소동
