movieCd,movieNm
20246724,카스카라 
20246718,칼달론 
20246723,알라스카 
20126133,오프닝 나이트
20126134,차이니즈 부키의 죽음
19748164,영향 아래 있는 여자
19688103,얼굴들
20126139,그림자들
19640076,게르트루드
20124667,오데트
19430012,분노의 날
20125047,뱀파이어
20248742,글롬달의 신부
19250007,집안의 주인
20170931,그랜드 듀얼 
20246704,황야의 방랑자
20202542,총잡이 링고
20202543,링고의 귀환
20246611,천막도시
20246610,판놀이 아리랑
20246592,손
20246254,행복의 노란 손수건
20142159,전장의 크리스마스
20193581,감각의 제국 감독판
20157824,탱고
19760094,내 마음의 풍차
19798147,복수는 나의것
19638041,8과 1/2
19300007,니스에 관하여
19310006,"장 타리스, 물의 왕"
19820100,보디히트
20112753,열애
20246064,스트라빈스키
20246063,글렌 굴드 - 오프 더 레코드
20246053,레스티구치 사건
20246062,무스 공장의 크리스마스
20246052,첫 번째 겨울
20246061,내셔널 스크림
20246040,통나무 운전사의 왈츠
20246051,레일로더
20134945,바나나 맛 토이
19880065,사방지
20245964,슬픔이여 영원히
19568018,여자 보안관 로즈
20245919,틴 토이
20245937,레드의 꿈
20245936,럭소 주니어
20245631,카리비아의 밤
20245633,몬테 크리스토 백작
20163767,음란해녀
20112341,동경의 황혼
19880057,매춘
19870138,마비취 
20245335,네덜란드 왕립 해병대
20245355,파티!
20245334,특별하지 않은
20245333,도마뱀
19808082,스페터스
20112688,선라이즈
19248002,마지막 웃음
20135753,파우스트
20140008,국외자들 
20245015,내 사랑의 일기
20232276,입양
20245014,9개월 
20228332,내 어린 날의 일기
20245013,자유로운 호흡
20245045,"소녀들이여, 울지 말아요"
20245044,그 날이 갔다
20244971,기동전사 건담 역습의 샤아
20244886,그날이 오면
20241489,상흔
20241466,방충망
19788028,간첩잡는 똘이장군
20081281,황금철인
19840003,은하전설 테라
19788029,똘이장군 : 제3 땅굴편
20157819,취미
20244763,지방극단 배우
20244764,피버
20244765,외로운 여인
19538011,동경 이야기
20244476,원더 링
20108466,카산드라 크로스
20111997,동경방랑자
20081285,은하함대 지구호
20212588,그 여름
20212586,땅밑 하늘공간
20124038,유니코 마법의 섬에 가다
20244072,밤의 예감
20244034,팝시클
20081176,멕시코에서 버스 타기
20131792,불장난
20090736,눈 먼 짐승
20090776,하나오카 세이슈의 아내
20090743,문신
20090734,남편은 보았다
20243908,최고수훈부인
20131799,명랑소녀
20112979,희생
19888116,거룩한 술꾼의 전설
19698051,공포기형인간
20243524,아바시리 번외지
20090750,섹스 체크
20131793,나카노 스파이 학교
20090745,붉은 천사
20090749,세이사쿠의 아내
20243522,야쿠자 군대
20090741,만지
20243541,검정 테스트 카
20090754,아내는 고백한다
20131795,실없는 놈
20131796,거인과 완구
20131800,입맞춤
20243215,환상의 벽
19800041,나를 보러와요
19830051,비련
19799096,중원의 백일홍
19779110,무명객
19758144,새벽에 온 방문객
19780129,불타는 소림사
20242586,좋은 꿈
20191691,정복자 영웅을 환대하라
20185401,요조숙녀
19418018,설리반의 여행
20191725,7월의 크리스마스
20191724,위대한 맥긴티
20242566,토카이도 요츠야 괴담
20167126,안개
20205004,하우스
20211826,악령의 밤
20090760,우게츠 이야기
19280003,어셔가의 몰락
20241488,그랑블루 오리지날 리마스터링
20242479,구름에서 저항으로
20242504,오통
20172283,안나 막달레나 바흐의 연대기
20124106,화해불가
20242362,배달원
20242361,아샤 이야기
20242346,날개
20242345,환영 또는 통행금지
20242320,나는 모스크바를 걷는다
20242319,소이 쿠바
20142121,병사의 발라드
20114900,학이 난다
20136054,에피데믹
20020304,범죄의 요소
20180106,태풍 클럽
19788022,소나기
19318004,엠
19698075,별명 붙은 여자
19730108,처녀 시절
19800067,외인들
19840053,뜸부기 새벽에 날다
19810019,깊은 밤 갑자기
20193016,검은 비상선
20127001,화조
19720146,가지마오
19720028,사랑하는 아들 딸아
19710028,두 딸의 어머니
19710174,간다고 잊을소냐
19598037,여인숙
19710125,기러기 남매
19768061,친구 사이야
19710022,개구장이 도련님
19760095,용비
19820026,친구여 조용히 가다오
19860066,겁없는 아이
19860037,88짝궁들
19850013,먹다버린 능금
19830011,암사슴
19830029,사랑만들기
19820066,내가 사랑했다
19800056,여자의 방
19790044,비취호리
19780202,흑룡표
20125548,팔대장문
19780034,중원대협
20125528,신정무문
19789013,비목(碑木)
19780055,대사부
19780123,꽃신
19770015,흑도
19770013,속 정무문
19770058,사랑의 원자탄
19780005,불타는 정무문
19770056,별 3형제
19778171,돌아온 불범
19770030,청춘공화국
19760022,졸업생
19760123,용사왕
19760112,수제자
19760114,맨발의 억순이
19760096,금욕
20101394,7인의 말괄량이
19750104,파라문
19750016,격동
19750093,49제
19750048,10대의 영광
19740077,대학생
19880018,칠소여복성
20241467,터널
20070517,왕립우주군-오네아미스의 날개 
20241309,키스하는 법
20241308,당신의 얼굴
20241254,잃어버린 사랑
20241253,랑도사
19358019,대로
20241236,임칙서
20241235,까마귀와 참새
20136693,작은 마을의 봄
20241252,만가등화
20241251,봄날의 강물은 동쪽으로 흐르고
20241250,공부자
20241249,목란종군
20165449,네거리
19348017,자매화
20241234,어부의 노래
20168601,신녀
19338013,봄누에
20241154,백조 II
20241173,백조 I
20241172,오렐리아 스타이너 (벤쿠버)
20241171,오렐리아 스타이너 (멜버른)
20081429,오렐리아 스타이너 멜버른+밴쿠버
20241169,바위에 새겨진 손들
20241168,세자레
20081427,트럭
20081426,캘커타 사막의 베니스라는 그의 이름
20119165,레네트와 미라벨의 네가지 모험
20080939,해변의 폴린
20241103,슈미르군츠
20241083,트레이드 타투
20080154,밑바닥
19808083,비행사의 아내
20240599,콘서트 오브 리퀘스트
19870085,우뢰매 4탄 썬더브이출동
19790061,제3한강교
19930398,정글북
19920286,또 아빠래
20090209,열혈남아
19850091,킬링필드 
19860117,백야 
20081372,클레르의 무릎
20081371,모드 집에서의 하룻밤
20148729,검사와 여선생
19618031,돼지꿈
19580066,오부자
20156185,저주받은 아이들
20240345,너무 이른/너무 늦은
19698105,사랑하는 여인들
20128469,괴물
20101197,굽이도는 증기선
19538014,모감보
19758171,유랑극단
20240332,켄터키 프라이드
20240329,소프트 앤 하드
20240343,천사
20240331,나무를 심는 사람
20240344,크랙
20240330,뚜리앵
20240342,첫날 밤
19358018,토니
20080159,엘레나와 남자들
19548020,프렌치 캉캉
19398008,게임의 규칙
20184964,일린
20240228,갈릴리에서의 결혼
20240218,바람의 체스
20240217,라 세실리아
20240227,딱따구리는 두통에 걸리지 않는다
20240226,걸스
20240216,나이트 게임
20240225,동료애
20240214,마노엘의 운명
20113204,자유의 환영
19800068,바람불어 좋은 날
19738178,그랜드 뷔페
20240224,지킬 박사와 미스 오스본의 기이한 사건
20240223,"고토, 사랑의 섬"
20201102,데이지
20240213,마카리오
20240212,꿈은 돈으로 살 수 있다
20101020,멋진 인생
20249875,오키나와 드림쇼
20249848,초국지소지천황
20249874,그 여름날의 누이
20249847,모토신카카란누
20080491,적군-PFLP:세계전쟁선언
20249846,도쿄전쟁전후비화
20120887,성의 도적:섹스 잭
20249873,약칭: 연쇄살인마
20080490,"가라, 가라 두 번째 처녀"
19869056,미션
20100268,별들의 고향 
19868089,흡혈식물 대소동
19598022,흑인 오르페
19780128,휘청거리는 오후
20081340,훔친 키스
20113254,횐색 양복을 입은 남자
19789002,황혼
20108645,황야의 빛나는 별
20134741,황야의 바람
20108126,황야의 동업자
20108641,홍콩서 온 불사신
19720055,홍살문
19688013,혹성탈출
20107717,호반(湖畔)의 메아리
20080907,혈육애
20111631,현금에 손대지 마라
20141994,햄릿
19548004,해저 2만리
20108907,해리의 소동
19768195,해뜰날
20112231,한쪽 날개의 천사
20135860,한여름 밤의 꿈
20124723,한니발
19790033,핏줄
19558004,피크닉
20112342,피안화
20111638,피닉스
2009A778,프리덤 파이터
20119965,프랑켄슈타인의 저주
20119217,프라카스 장군 
19770006,풍운 일지매
19770132,폭풍을 몰고 온 여자
20124377,포획
20110933,포 타임스 댓 나이트
20135704,평원아
20135705,편지
20080817,페어런츠 데이
20135725,퍼퓸 오브 더 레이디 인 블랙
20135746,패러딘 부인의 사랑
20124453,팔도여군
20124455,팔도강산
20124454,팔도 기생
19578009,파리의 연인
20135644,파리의 백작부인
19730003,어머니의 영광
20134745,파라다이스 캐년
19618009,티파니에서 아침을
19770119,특별수사반 박쥐
19780201,특명 8호
20081081,톡식 어벤저
20135163,토이
20112334,태어나기는 했지만
20101176,태양의 왕자 호르스의 대모험
20119787,태양은 알고 있다
20080161,탈주한 하사
20124712,킬러스 키스
19738193,크레이지 보이 슈퍼마켓
20119696,큐폴라가 있는 거리
20098575,쾌락
20119598,쾌걸 조로
20111235,코믹북 컨피덴셜
19710128,카추사
20119725,카르포 단편 1970-72
20111637,카르멘이란 이름
20134261,칠레전투 제 3부
20134262,칠레전투 제 2부
20134263,칠레 전투 제 1부 
20113171,친절한 마음과 화관
20119699,"친구여, 조용히 잠들라"
20124710,치어링 섹션
20108155,충의 객
20113714,춤추는 대뉴욕
19280002,춘희
19350010,춘풍
20112820,축제일
20124251,추억
20070161,추방당한 천사
20101302,추문
20124359,최후의 포장마차
19838136,초인지대
19789088,철면객
20124709,철도원
20111590,철 지난 꽃
19780125,천하무적
20108612,천왕권
19738088,천동
19808231,천국의 문
20124707,천국과 지옥
20134863,챔프
20124295,찰리브라운-할로윈데이
20124294,찰리브라운-추수감사절
20124293,찰리브라운-부활절
20124292,찰리브라운-발렌타인데이
19558044,차타레부인의 사랑
19748143,차이나타운
20119966,지옥에서 온 프랑켄슈타인과 괴물
19538016,지상에서 영원으로
20081376,지구에서 2천만 마일
20113782,죽음 만세
19598009,존 웨인의 기병대
20101303,조용한 결투
20134747,조르지오 내사랑
19688090,제삼지대
20080983,제3의 사나이
19799082,정조
20134751,정복되지 않는 사람들
19780132,정무지보
20134753,정글 속의 고릴라
20110876,젊은 사자들
20112819,절름발이 악마
19710025,전쟁과 인간
19468002,전원 교향곡
20124675,전우여 다시한번
20119658,저주받은 자들
20124107,저 푸른 바다로
19789015,저 파도 위에 엄마 얼굴이
19728042,장화홍련전
20157992,장난감 나라
20119695,작은 오빠
20110191,작은 아씨들
20111432,자화상
20090790,자마
20112817,잃어버린 천국
20110551,일요일의 사람들
19688087,일식
19779002,일격필살
19458002,인생유전
20111990,인간의 조건(5·6부)
20111988,인간의 조건(3·4부)
20111985,인간의 조건(1·2부)
2009A387,인간 야수
20124337,인간 사냥
20112809,익사에서 구조된 부뒤
20080897,이어도
20111424,이승 가타쿠 (화택)
20124336,이수
20112815,이상한 빅토르 씨
20112794,이상한 드라마
20112340,이른 봄
19789038,이 한몸 다바쳐
19438016,의혹의 그림자
20124740,의문의 실종
20001521,의리없는전쟁
19789018,율곡과 신사임당
20108874,위험한 열차
20138818,위커 맨 
19648081,원더풀 라이프
19418005,울프 맨
20110537,운명의 아이러니
19789042,우리에게 축배를
20119788,우리들의 이야기
19518015,욕망이라는 이름의 전차
20124672,요짐보
19809097,요사권
20124669,왼손잡이 권총
20108879,외팔이 드라곤
20124358,외인부대
19568002,왕과 나
20108881,와일드 킬러
20080099,오토 프레민저 스페셜-워싱턴 정가
19789016,오빠하고 누나하고
20124668,오명
19408011,오만과 편견
20112818,오르페브르의 부두
19780134,오대관문
20111254,오누이
19789066,옛날 옛적에 훠어이 훠이
19799005,영원한 유산
19799025,영원한 관계
19720007,영시
20124633,"열차 안의 낯선 자들, 의혹의 전망차 "
19800121,열번 찍어도 안 넘어진 사나이
20072141,열녀문
20111430,여행
20114793,여심
20112816,여름의 빛
20134766,여름날 파티에서 대학살 2
19678093,여걸비호
20124735,에드바르트 뭉크
20108618,에니멀데이트
20119735,에고마니아
20111252,엄마
20119963,어셔가의 몰락
19789006,어딘가에 엄마가
20249402,외모와 미소
20249401,불쌍한 암소
20249453,캐시 집에 오다
20101409,애수
20135762,애꾸라 불린 여자
19738149,알파치노의 허수아비
19388010,알렉산더 네브스키
19789037,안개 속의 여인(女人)
20081662,악의 손길
19798186,악령 속의 사춘기
20124638,아파치
20101304,아카니시가키타
19779045,아무도 모를꺼야
19779010,아리랑아
20108659,아랑신
20111251,아내여 장미처럼
20108647,아기코끼리 무용담
20108668,썸머타임리코
19780133,쌍용통첩장
20108508,쌍용
19780110,십자수권
19600037,심야의 부르스
20108133,신풍특공대
20124376,신입생
20135687,신부의 아버지
20134282,신밧드
19508001,신데렐라
19790121,신궁
20090672,시집 가는 날
20111431,시인의 생애
20124634,시스터즈
19418007,시민 케인
19818132,시간 도둑들
20080098,슬픔이여 안녕
19789001,슬픔이 파도를 넘을 때
19789009,슬픔은 저 별들에게도
20124375,스피디
20134764,스톤 부인의 로마의 봄
20124632,스키피오 아프리카누스
19818139,스캐너스
20113712,스윙 타임
20080597,스위트 홈
19828014,스노우맨
20113713,쉘 위 댄스
20124630,숨은 요새의 세 악인
20119669,순수한 사람들
19789012,수병과 제독
20080900,수녀
19738070,소일렌트 그린
19780122,소림사 목련도사
20100041,셜록홈즈: 비밀병기
20135737,세대
20127394,성난 황소
20135743,성난 파도
19799087,선배
19710214,석양의 갱들
19768229,서부우량아
19718198,서방님 따라서
